maturity,moneyness,price,strike,type,forward
0.10684931506849316,0.2949287009865365,0.0001,600.0,P,2034.39
0.10684931506849316,0.39323826798204864,0.0005,800.0,P,2034.39
0.10684931506849316,0.44239305147980473,0.0023,900.0,P,2034.39
0.10684931506849316,0.4915478349775608,0.0001,1000.0,P,2034.39
0.10684931506849316,0.5407026184753169,0.0016,1100.0,P,2034.39
0.10684931506849316,0.589857401973073,0.0023,1200.0,P,2034.39
0.10684931506849316,0.639012185470829,0.0034,1300.0,P,2034.39
0.10684931506849316,0.6881669689685851,0.0065,1400.0,P,2034.39
0.10684931506849316,0.7373217524663412,0.008,1500.0,P,2034.39
0.10684931506849316,0.7864765359640973,0.012,1600.0,P,2034.39
0.10684931506849316,0.8356313194618534,0.0185,1700.0,P,2034.39
0.10684931506849316,0.8847861029596095,0.0345,1800.0,P,2034.39
0.10684931506849316,0.9339408864573655,0.037,1900.0,P,2034.39
0.10684931506849316,0.9830956699551217,0.058499999999999996,2000.0,P,2034.39
0.10684931506849316,1.0322504534528778,0.055,2100.0,C,2034.39
0.10684931506849316,1.0814052369506337,0.05,2200.0,C,2034.39
0.10684931506849316,1.1305600204483899,0.028999999999999998,2300.0,C,2034.39
0.10684931506849316,1.179714803946146,0.023,2400.0,C,2034.39
0.10684931506849316,1.278024370941658,0.0235,2600.0,C,2034.39
0.10684931506849316,1.3763339379371702,0.0125,2800.0,C,2034.39
0.10684931506849316,1.4746435049326825,0.0085,3000.0,C,2034.39
0.10684931506849316,1.5729530719281946,0.0326,3200.0,C,2034.39
0.10684931506849316,1.6712626389237069,0.073,3400.0,C,2034.39
0.10684931506849316,1.769572205919219,0.05,3600.0,C,2034.39
0.10684931506849316,1.9661913399102433,0.0024,4000.0,C,2034.39
0.10684931506849316,2.457739174887804,0.0001,5000.0,C,2034.39
0.10684931506849316,2.949287009865365,0.0004,6000.0,C,2034.39
0.10684931506849316,3.4408348448429256,0.005,7000.0,C,2034.39
0.10684931506849316,3.9323826798204866,0.0122,8000.0,C,2034.39
0.10684931506849316,4.915478349775608,0.0785,10000.0,C,2034.39
0.8547945205479452,0.3730560283522582,0.106,800.0,P,2144.45
0.8547945205479452,0.46632003544032274,0.5235,1000.0,P,2144.45
0.8547945205479452,0.5595840425283872,0.5435,1200.0,P,2144.45
0.8547945205479452,0.6062160460724195,0.6045,1300.0,P,2144.45
0.8547945205479452,0.6528480496164518,0.577,1400.0,P,2144.45
0.8547945205479452,0.6994800531604841,0.589,1500.0,P,2144.45
0.8547945205479452,0.7461120567045164,0.09075,1600.0,P,2144.45
0.8547945205479452,0.7927440602485486,0.1095,1700.0,P,2144.45
0.8547945205479452,0.8393760637925809,0.6205,1800.0,P,2144.45
0.8547945205479452,0.8860080673366132,0.633,1900.0,P,2144.45
0.8547945205479452,0.9326400708806455,0.1765,2000.0,P,2144.45
0.8547945205479452,0.9792720744246778,0.2185,2100.0,P,2144.45
0.8547945205479452,1.02590407796871,0.2095,2200.0,C,2144.45
0.8547945205479452,1.0725360815127423,0.7195,2300.0,C,2144.45
0.8547945205479452,1.1191680850567745,0.181,2400.0,C,2144.45
0.8547945205479452,1.1658000886008069,0.673,2500.0,C,2144.45
0.8547945205479452,1.212432092144839,0.675,2600.0,C,2144.45
0.8547945205479452,1.3056960992329036,0.6555,2800.0,C,2144.45
0.8547945205479452,1.3989601063209682,0.4445,3000.0,C,2144.45
0.8547945205479452,1.865280141761291,0.07575,4000.0,C,2144.45
0.8547945205479452,2.3316001772016137,0.051250000000000004,5000.0,C,2144.45
0.8547945205479452,2.7979202126419365,0.03825,6000.0,C,2144.45
0.8547945205479452,3.264240248082259,0.632,7000.0,C,2144.45
0.8547945205479452,3.730560283522582,0.0295,8000.0,C,2144.45
0.8547945205479452,5.12952038984355,0.0001,11000.0,C,2144.45
0.010958904109589041,0.3958730237276394,0.0001,800.0,P,2020.85
0.010958904109589041,0.4948412796595492,0.0007,1000.0,P,2020.85
0.010958904109589041,0.5938095355914591,0.0001,1200.0,P,2020.85
0.010958904109589041,0.6927777915233689,0.0037,1400.0,P,2020.85
0.010958904109589041,0.7422619194893239,0.0008,1500.0,P,2020.85
0.010958904109589041,0.7917460474552788,0.0013,1600.0,P,2020.85
0.010958904109589041,0.8412301754212337,0.0021,1700.0,P,2020.85
0.010958904109589041,0.8907143033871886,0.00135,1800.0,P,2020.85
0.010958904109589041,0.9401984313531435,0.01,1900.0,P,2020.85
0.010958904109589041,0.9896825593190984,0.2275,2000.0,P,2020.85
0.010958904109589041,1.0391666872850533,0.00925,2100.0,C,2020.85
0.010958904109589041,1.0886508152510084,0.013,2200.0,C,2020.85
0.010958904109589041,1.1876190711829182,0.0038,2400.0,C,2020.85
0.010958904109589041,1.237103199148873,0.0036,2500.0,C,2020.85
0.010958904109589041,1.286587327114828,0.0001,2600.0,C,2020.85
0.010958904109589041,1.3855555830467379,0.0001,2800.0,C,2020.85
0.010958904109589041,1.4845238389786477,0.0001,3000.0,C,2020.85
0.010958904109589041,1.7319444788084222,0.0017,3500.0,C,2020.85
0.010958904109589041,2.2267857584679716,0.0001,4500.0,C,2020.85
0.3561643835616438,0.48296346381396243,0.0001,1000.0,P,2070.55
0.3561643835616438,0.579556156576755,0.0205,1200.0,P,2070.55
0.3561643835616438,0.6761488493395474,0.016550000000000002,1400.0,P,2070.55
0.3561643835616438,0.7244451957209437,0.0595,1500.0,P,2070.55
0.3561643835616438,0.7727415421023399,0.1675,1600.0,P,2070.55
0.3561643835616438,0.8210378884837362,0.0055,1700.0,P,2070.55
0.3561643835616438,0.8693342348651324,0.07775,1800.0,P,2070.55
0.3561643835616438,0.9176305812465286,0.134,1900.0,P,2070.55
0.3561643835616438,0.9659269276279249,0.18,2000.0,P,2070.55
0.3561643835616438,1.014223274009321,0.144,2100.0,C,2070.55
0.3561643835616438,1.0625196203907175,0.093,2200.0,C,2070.55
0.3561643835616438,1.1108159667721136,0.10325,2300.0,C,2070.55
0.3561643835616438,1.15911231315351,0.09075,2400.0,C,2070.55
0.3561643835616438,1.2557050059163024,0.2,2600.0,C,2070.55
0.3561643835616438,1.3522976986790949,0.0555,2800.0,C,2070.55
0.3561643835616438,1.4488903914418874,0.04475,3000.0,C,2070.55
0.3561643835616438,1.9318538552558497,0.0195,4000.0,C,2070.55
0.3561643835616438,2.414817319069812,0.011,5000.0,C,2070.55
0.3561643835616438,2.8977807828837747,0.0475,6000.0,C,2070.55
0.3561643835616438,3.380744246697737,0.0002,7000.0,C,2070.55
0.6054794520547945,0.4748946921020264,0.021,1000.0,P,2105.73
0.6054794520547945,0.5698736305224317,0.047,1200.0,P,2105.73
0.6054794520547945,0.6173630997326343,0.0535,1300.0,P,2105.73
0.6054794520547945,0.664852568942837,0.071,1400.0,P,2105.73
0.6054794520547945,0.7123420381530395,0.082,1500.0,P,2105.73
0.6054794520547945,0.7598315073632422,0.0878,1600.0,P,2105.73
0.6054794520547945,0.8073209765734448,0.1118,1700.0,P,2105.73
0.6054794520547945,0.8548104457836475,0.0598,1800.0,P,2105.73
0.6054794520547945,0.9022999149938501,0.131,1900.0,P,2105.73
0.6054794520547945,0.9497893842040528,0.174,2000.0,P,2105.73
0.6054794520547945,0.9972788534142554,0.201,2100.0,P,2105.73
0.6054794520547945,1.044768322624458,0.169,2200.0,C,2105.73
0.6054794520547945,1.0922577918346608,0.0565,2300.0,C,2105.73
0.6054794520547945,1.1397472610448633,0.0495,2400.0,C,2105.73
0.6054794520547945,1.2347261994652685,0.052,2600.0,C,2105.73
0.6054794520547945,1.329705137885674,0.6065,2800.0,C,2105.73
0.6054794520547945,1.424684076306079,0.08625,3000.0,C,2105.73
0.6054794520547945,1.8995787684081056,0.0022,4000.0,C,2105.73
0.6054794520547945,2.374473460510132,0.0295,5000.0,C,2105.73
0.6054794520547945,2.849368152612158,0.020749999999999998,6000.0,C,2105.73
0.6054794520547945,3.3242628447141844,0.015,7000.0,C,2105.73
0.18356164383561643,0.6845898817615476,0.018,1400.0,P,2045.02
0.18356164383561643,0.7823884362989115,0.0435,1600.0,P,2045.02
0.18356164383561643,0.8312877135675935,0.043,1700.0,P,2045.02
0.18356164383561643,0.9290862681049574,0.1015,1900.0,P,2045.02
0.18356164383561643,1.1246833771796854,0.072,2300.0,C,2045.02
0.18356164383561643,1.1735826544483672,0.04325,2400.0,C,2045.02
0.18356164383561643,1.466978318060459,0.013,3000.0,C,2045.02
0.030136986301369864,0.7412092581977744,0.0021,1500.0,P,2023.72
0.030136986301369864,0.7906232087442927,0.003,1600.0,P,2023.72
0.030136986301369864,0.840037159290811,0.005,1700.0,P,2023.72
0.030136986301369864,0.8894511098373292,0.0095,1800.0,P,2023.72
0.030136986301369864,0.9388650603838475,0.0185,1900.0,P,2023.72
0.030136986301369864,0.9882790109303659,0.0365,2000.0,P,2023.72
0.030136986301369864,1.0376929614768842,0.0395,2100.0,C,2023.72
0.030136986301369864,1.0871069120234025,0.023,2200.0,C,2023.72
0.030136986301369864,1.1365208625699208,0.0145,2300.0,C,2023.72
0.030136986301369864,1.1859348131164391,0.01,2400.0,C,2023.72
0.030136986301369864,1.2353487636629572,0.007,2500.0,C,2023.72
0.030136986301369864,1.2847627142094755,0.0046,2600.0,C,2023.72
0.030136986301369864,1.3341766647559938,0.0034,2700.0,C,2023.72
0.030136986301369864,1.3835906153025122,0.0025,2800.0,C,2023.72
0.049315068493150684,0.7403404085198374,0.0025,1500.0,P,2026.095
0.049315068493150684,0.7896964357544932,0.0046,1600.0,P,2026.095
0.049315068493150684,0.839052462989149,0.009,1700.0,P,2026.095
0.049315068493150684,0.8884084902238049,0.0175,1800.0,P,2026.095
0.049315068493150684,0.9377645174584607,0.033,1900.0,P,2026.095
0.049315068493150684,0.9871205446931165,0.0405,2000.0,P,2026.095
0.049315068493150684,1.0364765719277724,0.0265,2100.0,C,2026.095
0.049315068493150684,1.0858325991624282,0.015,2200.0,C,2026.095
0.049315068493150684,1.135188626397084,0.009,2300.0,C,2026.095
0.049315068493150684,1.1845446536317399,0.0055,2400.0,C,2026.095
0.049315068493150684,1.2339006808663957,0.0034,2500.0,C,2026.095
0.049315068493150684,1.2832567081010515,0.0028,2600.0,C,2026.095
0.049315068493150684,1.3326127353357073,0.001,2700.0,C,2026.095
0.049315068493150684,1.3819687625703632,0.0013,2800.0,C,2026.095
0.0027397260273972603,0.8917758204399476,0.0001,1800.0,P,2018.4445
0.0027397260273972603,0.916547371007724,0.0018,1850.0,P,2018.4445
0.0027397260273972603,0.9289331462916122,0.0015,1875.0,P,2018.4445
0.0027397260273972603,0.9537046968593885,0.0055,1925.0,P,2018.4445
0.0027397260273972603,0.9660904721432766,0.008,1950.0,P,2018.4445
0.0027397260273972603,1.003247797994941,0.0034,2025.0,C,2018.4445
0.0027397260273972603,1.0156335732788293,0.0019,2050.0,C,2018.4445
